smiles,RS_as_01
CC(=O)O[C@@H]1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N,0
CC(=O)C[C@@H](C1=CC=C(C=C1)[N+](=O)[O-])C2=C(OC3=CC=CC=C3C2=O)[O-],1
CC(=O)C[C@H](C1=CC=C(C=C1)[N+](=O)[O-])C2=C(OC3=CC=CC=C3C2=O)[O-],0
CCOC1=C(C=CC(=C1)[C@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,0
CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,1
C[C@@H](CCC=C(C)C)C=C,1
C[C@H](CCC=C(C)C)C=C,0
CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,0
CC(C)[C@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,1
C[C@@H](O)C(O)=O,0
C[C@H](O)C(O)=O,1
CN1C2=CC=CC=C2C(=N[C@H](NC(=O)C2=CC3=C(N2)C=CC=C3)C1=O)C1=CC=CC=C1,1
CN1C2=CC=CC=C2C(=N[C@@H](NC(=O)C2=CC3=C(N2)C=CC=C3)C1=O)C1=CC=CC=C1,0
CCCN[C@H]1CCC2=C(C1)SC(N)=N2,1
CCCN[C@@H]1CCC2=C(C1)SC(N)=N2,0
CC1=CC[C@H](CC1)C(C)(C)O,1
CC1=CC[C@@H](CC1)C(C)(C)O,0
C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C,0
C[C@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C,1
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,0
CC(C)[C@H]1CC[C@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,1
NCCC(=O)N1[Zn]OC(=O)[C@@H]1CC1=CN=CN1,1
NCCC(=O)N1[Zn]OC(=O)[C@H]1CC1=CN=CN1,0
COC1CN(CCO1)C1CC(OC2C[C@@](O)(CC3=C(O)C4=C(C(O)=C23)C(=O)C2=C(OC)C=CC=C2C4=O)C(=O)CO)OC(C)C1O,1
COC1CN(CCO1)C1CC(OC2C[C@](O)(CC3=C(O)C4=C(C(O)=C23)C(=O)C2=C(OC)C=CC=C2C4=O)C(=O)CO)OC(C)C1O,0
CCOC(=O)C1=CC(=O)C2=C(OCC(COC3=C4C(=O)C=C(OC4=CC=C3)C(=O)OCC)OC(=O)[C@@H](N)CCCCN)C=CC=C2O1,1
CCOC(=O)C1=CC(=O)C2=C(OCC(COC3=C4C(=O)C=C(OC4=CC=C3)C(=O)OCC)OC(=O)[C@H](N)CCCCN)C=CC=C2O1,0
O=C([C@H]1CCC(=O)N1)N1CCCCC1,0
O=C([C@@H]1CCC(=O)N1)N1CCCCC1,1
CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1
CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C1=CC=C(S1)C(=O)N[C@H](CCC(O)=O)C(O)=O,0
CCOC(=O)[C@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,1
CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,0
NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,1
NC1=NC(=O)N(C[C@H](CO)OCP(O)(O)=O)C=C1,0
N[C@@H](COC(=O)C=[N+]=[N-])C(O)=O,1
N[C@H](COC(=O)C=[N+]=[N-])C(O)=O,0
OC(=O)C[C@H](NC(=O)OCC1=CC=CC=C1)C(O)=O,1
OC(=O)C[C@@H](NC(=O)OCC1=CC=CC=C1)C(O)=O,0
C[C@H](CN1CCCC1)C(=O)C1=CC=C(C=C1)C(F)(F)F,0
C[C@@H](CN1CCCC1)C(=O)C1=CC=C(C=C1)C(F)(F)F,1
OC(=O)CCN1C2=C(C[C@@H](CC2)NS(=O)(=O)C2=CC=C(F)C=C2)C2=C1C=CC=C2,0
OC(=O)CCN1C2=C(C[C@H](CC2)NS(=O)(=O)C2=CC=C(F)C=C2)C2=C1C=CC=C2,1
OC(=O)[C@H]1CN(C\C=C\P(O)(O)=O)CCN1,0
OC(=O)[C@@H]1CN(C\C=C\P(O)(O)=O)CCN1,1
CC(C)C[C@H](NC(C)=O)C(O)=O,1
CC(C)C[C@@H](NC(C)=O)C(O)=O,0
CC(=O)N[C@@H](CCC(O)=O)C(O)=O,1
CC(=O)N[C@H](CCC(O)=O)C(O)=O,0
NC(=O)N[C@@H](CCC(O)=O)C(O)=O,1
NC(=O)N[C@H](CCC(O)=O)C(O)=O,0
CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC11CCN(CC1)C1(C)CCN(CC1)C(=O)C1=C(C)N=CN=C1C,1
CCCC[C@@H]1CN(CC2CCOCC2)C(=O)OC11CCN(CC1)C1(C)CCN(CC1)C(=O)C1=C(C)N=CN=C1C,0
CN(C)[C@@H](CCOC1=CC=CC2=C1C=CC=C2)C1=CC=CC=C1,1
